filename,num_timesteps,num_timesteps_missing,avg_spatial_coverage,num_timesteps_abovecov,temporal_coverage,assesment_temporal,assesment_spatial
eopatch-841,38,38,81.8706947368421,30,78.94736842105263,high,high
eopatch-781,38,38,79.89814736842105,31,81.57894736842105,high,high
eopatch-718,38,38,82.29006315789475,30,78.94736842105263,high,high
eopatch-804,38,38,78.40909473684209,28,73.6842105263158,high,high
eopatch-903,38,38,73.20509473684211,23,60.526315789473685,low,high
eopatch-559,22,22,87.1226909090909,19,86.36363636363636,high,high
eopatch-879,38,38,75.82353684210526,27,71.05263157894737,high,high
eopatch-383,19,19,93.89962105263157,18,94.73684210526316,high,high
eopatch-402,19,19,87.6778947368421,18,94.73684210526316,high,high
eopatch-852,38,38,76.91313684210525,26,68.42105263157895,low,high
eopatch-825,38,38,76.62235789473687,29,76.3157894736842,high,high
eopatch-644,38,38,82.90766315789475,33,86.84210526315789,high,high
eopatch-889,38,38,76.62501052631578,27,71.05263157894737,high,high
eopatch-771,45,45,78.58513777777777,34,75.55555555555556,high,high
eopatch-341,19,19,87.74560000000001,17,89.47368421052632,high,high
eopatch-828,38,38,82.70648421052634,31,81.57894736842105,high,high
eopatch-803,38,38,77.27797894736844,29,76.3157894736842,high,high
eopatch-523,48,48,55.044258333333346,18,37.5,low,low
eopatch-890,38,38,77.56572631578946,28,73.6842105263158,high,high
eopatch-904,38,38,74.9290947368421,26,68.42105263157895,low,high
eopatch-782,38,38,82.55595789473685,31,81.57894736842105,high,high
eopatch-835,38,38,74.36080000000001,26,68.42105263157895,low,high
eopatch-364,19,19,92.66273684210528,18,94.73684210526316,high,high
eopatch-894,38,38,73.37444210526317,24,63.1578947368421,low,high
eopatch-870,38,38,78.62538947368421,26,68.42105263157895,low,high
eopatch-672,38,38,80.66235789473687,30,78.94736842105263,high,high
eopatch-826,38,38,82.4184,32,84.21052631578948,high,high
eopatch-851,38,38,83.00244210526313,30,78.94736842105263,high,high
eopatch-498,24,24,78.66546666666667,18,75.0,high,high
eopatch-294,25,25,77.40588799999999,19,76.0,high,high
eopatch-863,38,38,78.67166315789476,31,81.57894736842105,high,high
eopatch-869,38,38,75.71515789473683,27,71.05263157894737,high,high
eopatch-887,38,38,80.10724210526318,30,78.94736842105263,high,high
eopatch-813,38,38,74.90938947368424,28,73.6842105263158,high,high
eopatch-880,38,38,74.67861052631578,27,71.05263157894737,high,high
eopatch-914,46,46,60.183721739130426,25,54.34782608695652,low,low
eopatch-740,38,38,76.5298947368421,28,73.6842105263158,high,high
eopatch-299,19,19,89.64623157894736,17,89.47368421052632,high,high
