filename,num_timesteps,num_timesteps_missing,avg_spatial_coverage,num_timesteps_abovecov,temporal_coverage,assesment_temporal,assesment_spatial
eopatch-153,24,18,88.50473333333333,21,87.5,high,high
eopatch-294,25,24,87.187584,22,88.0,high,high
eopatch-298,19,19,91.96143157894737,18,94.73684210526316,high,high
eopatch-299,19,18,91.62922105263158,18,94.73684210526316,high,high
eopatch-316,25,24,84.699392,21,84.0,high,high
eopatch-320,19,19,90.97869473684212,18,94.73684210526316,high,high
eopatch-341,19,19,91.63932631578948,18,94.73684210526316,high,high
eopatch-342,19,18,92.70442105263156,18,94.73684210526316,high,high
eopatch-343,19,19,92.49667368421052,18,94.73684210526316,high,high
eopatch-344,19,19,90.57574736842105,18,94.73684210526316,high,high
eopatch-363,19,17,93.68286315789474,18,94.73684210526316,high,high
eopatch-364,19,19,93.77574736842105,18,94.73684210526316,high,high
eopatch-365,19,16,90.9515789473684,18,94.73684210526316,high,high
eopatch-381,19,19,91.81591578947369,18,94.73684210526316,high,high
eopatch-383,19,19,95.09052631578948,18,94.73684210526316,high,high
eopatch-402,19,19,92.7578947368421,18,94.73684210526316,high,high
eopatch-404,19,19,96.20757894736842,18,94.73684210526316,high,high
eopatch-471,24,23,87.32073333333331,22,91.66666666666667,high,high
eopatch-498,24,23,86.084,21,87.5,high,high
eopatch-523,48,40,90.17174166666668,46,95.83333333333333,high,high
eopatch-558,22,18,88.8088,19,86.36363636363636,high,high
eopatch-559,22,21,93.38785454545454,21,95.45454545454545,high,high
eopatch-577,48,48,81.5723,40,83.33333333333333,high,high
eopatch-599,44,43,80.78069090909092,37,84.0909090909091,high,high
eopatch-644,38,36,88.04530526315793,34,89.47368421052632,high,high
eopatch-652,38,38,84.49548421052631,33,86.84210526315789,high,high
eopatch-672,38,38,87.06682105263157,33,86.84210526315789,high,high
eopatch-688,44,43,87.62316363636363,38,86.36363636363636,high,high
eopatch-689,44,43,88.74309090909092,41,93.18181818181819,high,high
eopatch-697,38,37,90.83452631578949,36,94.73684210526316,high,high
eopatch-718,38,38,90.18564210526316,34,89.47368421052632,high,high
eopatch-731,45,44,85.09134222222224,39,86.66666666666667,high,high
eopatch-738,38,36,91.00707368421052,35,92.10526315789474,high,high
eopatch-740,38,38,84.44837894736843,33,86.84210526315789,high,high
eopatch-751,45,44,86.24839111111109,40,88.88888888888889,high,high
eopatch-761,38,38,86.36433684210529,33,86.84210526315789,high,high
eopatch-770,44,44,87.72312727272728,39,88.63636363636364,high,high
eopatch-771,45,44,86.5423288888889,39,86.66666666666667,high,high
eopatch-780,38,38,88.69667368421052,35,92.10526315789474,high,high
eopatch-781,38,38,87.40606315789474,34,89.47368421052632,high,high
eopatch-782,38,38,89.45166315789473,35,92.10526315789474,high,high
eopatch-784,38,38,87.54858947368422,34,89.47368421052632,high,high
eopatch-799,38,36,89.96715789473683,36,94.73684210526316,high,high
eopatch-800,38,38,86.12677894736841,33,86.84210526315789,high,high
eopatch-801,38,38,87.6138947368421,34,89.47368421052632,high,high
eopatch-803,38,38,88.48926315789475,36,94.73684210526316,high,high
eopatch-804,38,38,89.54400000000001,37,97.36842105263158,high,high
eopatch-805,38,38,85.12694736842104,32,84.21052631578948,high,high
eopatch-811,38,36,89.82783157894737,36,94.73684210526316,high,high
eopatch-812,38,37,86.59427368421053,34,89.47368421052632,high,high
eopatch-813,38,37,83.99145263157894,32,84.21052631578948,high,high
eopatch-815,38,38,92.19785263157898,36,94.73684210526316,high,high
eopatch-816,38,38,89.56846315789474,34,89.47368421052632,high,high
eopatch-818,38,37,88.64661052631578,34,89.47368421052632,high,high
eopatch-823,38,32,88.44606315789474,35,92.10526315789474,high,high
eopatch-825,38,38,85.85347368421053,33,86.84210526315789,high,high
eopatch-826,38,38,89.7566736842105,35,92.10526315789474,high,high
eopatch-827,38,34,93.48311578947371,37,97.36842105263158,high,high
eopatch-828,38,38,91.56589473684211,36,94.73684210526316,high,high
eopatch-829,38,37,90.07082105263157,35,92.10526315789474,high,high
eopatch-830,38,35,91.47090526315787,37,97.36842105263158,high,high
eopatch-835,38,37,87.97503157894737,35,92.10526315789474,high,high
eopatch-837,38,38,88.83511578947366,35,92.10526315789474,high,high
eopatch-838,38,38,91.60955789473684,37,97.36842105263158,high,high
eopatch-839,38,37,92.18261052631581,35,92.10526315789474,high,high
eopatch-840,38,37,90.97861052631579,35,92.10526315789474,high,high
eopatch-841,38,36,89.68016842105263,34,89.47368421052632,high,high
eopatch-849,38,37,88.0096,36,94.73684210526316,high,high
eopatch-850,38,38,90.59734736842107,34,89.47368421052632,high,high
eopatch-851,38,37,92.00783157894736,37,97.36842105263158,high,high
eopatch-852,38,38,85.47882105263157,33,86.84210526315789,high,high
eopatch-862,38,35,90.73696842105262,35,92.10526315789474,high,high
eopatch-863,38,33,89.77911578947368,34,89.47368421052632,high,high
eopatch-869,38,37,84.50955789473683,33,86.84210526315789,high,high
eopatch-870,38,35,87.56046315789474,35,92.10526315789474,high,high
eopatch-877,38,38,88.49856842105264,35,92.10526315789474,high,high
eopatch-878,38,36,86.54181052631577,33,86.84210526315789,high,high
eopatch-879,38,36,88.31797894736842,35,92.10526315789474,high,high
eopatch-880,38,37,85.90728421052633,34,89.47368421052632,high,high
eopatch-881,38,38,80.83406315789473,30,78.94736842105263,high,high
eopatch-882,38,37,82.4799157894737,32,84.21052631578948,high,high
eopatch-887,38,35,91.11452631578948,35,92.10526315789474,high,high
eopatch-888,38,33,90.64475789473683,36,94.73684210526316,high,high
eopatch-889,38,36,90.08981052631579,36,94.73684210526316,high,high
eopatch-890,38,38,88.33553684210526,35,92.10526315789474,high,high
eopatch-891,38,37,90.02265263157894,34,89.47368421052632,high,high
eopatch-893,38,38,82.73852631578949,32,84.21052631578948,high,high
eopatch-894,38,38,81.40290526315792,32,84.21052631578948,high,high
eopatch-899,38,33,86.00471578947366,33,86.84210526315789,high,high
eopatch-901,38,37,85.87987368421054,31,81.57894736842105,high,high
eopatch-902,38,38,87.5794947368421,35,92.10526315789474,high,high
eopatch-903,38,37,86.17515789473686,35,92.10526315789474,high,high
eopatch-904,38,38,83.93242105263157,33,86.84210526315789,high,high
eopatch-905,38,35,81.78585263157898,31,81.57894736842105,high,high
eopatch-907,38,36,83.38829473684211,33,86.84210526315789,high,high
eopatch-908,38,34,80.26589473684209,31,81.57894736842105,high,high
eopatch-914,46,37,87.4290782608696,41,89.1304347826087,high,high
eopatch-915,46,35,86.51766956521739,39,84.78260869565217,high,high
eopatch-916,46,38,87.09085217391305,40,86.95652173913044,high,high
eopatch-924,46,43,84.78779130434783,41,89.1304347826087,high,high
