filename,num_timesteps,num_timesteps_missing,avg_spatial_coverage,num_timesteps_abovecov,temporal_coverage,assesment_temporal,assesment_spatial
eopatch-841,38,38,81.8706947368421,33,86.84210526315789,high,high
eopatch-781,38,38,79.89814736842105,31,81.57894736842105,high,high
eopatch-718,38,38,82.29006315789475,32,84.21052631578948,high,high
eopatch-804,38,38,78.40909473684209,34,89.47368421052632,high,high
eopatch-903,38,38,73.20509473684211,27,71.05263157894737,high,high
eopatch-559,22,22,87.1226909090909,20,90.9090909090909,high,high
eopatch-879,38,38,75.82353684210526,30,78.94736842105263,high,high
eopatch-383,19,19,93.89962105263157,18,94.73684210526316,high,high
eopatch-402,19,19,87.6778947368421,18,94.73684210526316,high,high
eopatch-852,38,38,76.91313684210525,30,78.94736842105263,high,high
eopatch-825,38,38,76.62235789473687,30,78.94736842105263,high,high
eopatch-644,38,38,82.90766315789475,33,86.84210526315789,high,high
eopatch-889,38,38,76.62501052631578,31,81.57894736842105,high,high
eopatch-771,45,45,78.58513777777777,36,80.0,high,high
eopatch-341,19,19,87.74560000000001,18,94.73684210526316,high,high
eopatch-828,38,38,82.70648421052634,33,86.84210526315789,high,high
eopatch-803,38,38,77.27797894736844,32,84.21052631578948,high,high
eopatch-523,48,48,55.044258333333346,28,58.333333333333336,high,high
eopatch-890,38,38,77.56572631578946,31,81.57894736842105,high,high
eopatch-904,38,38,74.9290947368421,28,73.6842105263158,high,high
eopatch-782,38,38,82.55595789473685,32,84.21052631578948,high,high
eopatch-835,38,38,74.36080000000001,31,81.57894736842105,high,high
eopatch-364,19,19,92.66273684210528,18,94.73684210526316,high,high
eopatch-894,38,38,73.37444210526317,29,76.3157894736842,high,high
eopatch-870,38,38,78.62538947368421,31,81.57894736842105,high,high
eopatch-672,38,38,80.66235789473687,32,84.21052631578948,high,high
eopatch-826,38,38,82.4184,34,89.47368421052632,high,high
eopatch-851,38,38,83.00244210526313,32,84.21052631578948,high,high
eopatch-498,24,24,78.66546666666667,20,83.33333333333333,high,high
eopatch-294,25,25,77.40588799999999,20,80.0,high,high
eopatch-863,38,38,78.67166315789476,31,81.57894736842105,high,high
eopatch-869,38,38,75.71515789473683,31,81.57894736842105,high,high
eopatch-887,38,38,80.10724210526318,32,84.21052631578948,high,high
eopatch-813,38,38,74.90938947368424,30,78.94736842105263,high,high
eopatch-880,38,38,74.67861052631578,31,81.57894736842105,high,high
eopatch-914,46,46,60.183721739130426,29,63.04347826086956,high,high
eopatch-740,38,38,76.5298947368421,29,76.3157894736842,high,high
eopatch-299,19,19,89.64623157894736,18,94.73684210526316,high,high
eopatch-471,24,24,79.34333333333332,20,83.33333333333333,high,high
eopatch-342,19,19,89.79823157894738,18,94.73684210526316,high,high
eopatch-893,38,38,73.62113684210527,27,71.05263157894737,high,high
eopatch-907,38,38,74.26286315789473,29,76.3157894736842,high,high
eopatch-800,38,38,77.7378947368421,31,81.57894736842105,high,high
eopatch-877,38,38,77.22981052631579,31,81.57894736842105,high,high
eopatch-899,38,38,72.54513684210524,27,71.05263157894737,high,high
eopatch-363,19,19,91.81178947368421,18,94.73684210526316,high,high
eopatch-838,38,38,83.53574736842106,32,84.21052631578948,high,high
eopatch-688,44,44,81.95087272727272,37,84.0909090909091,high,high
eopatch-761,38,38,78.00492631578948,32,84.21052631578948,high,high
eopatch-316,25,25,77.034944,19,76.0,high,high
eopatch-751,45,45,72.72576000000001,35,77.77777777777777,high,high
eopatch-891,38,38,78.08917894736842,32,84.21052631578948,high,high
eopatch-905,38,38,75.32555789473686,29,76.3157894736842,high,high
eopatch-830,38,38,80.94981052631579,33,86.84210526315789,high,high
eopatch-888,38,38,78.85928421052635,30,78.94736842105263,high,high
eopatch-811,38,38,80.68618947368422,32,84.21052631578948,high,high
eopatch-882,38,38,75.01978947368423,30,78.94736842105263,high,high
eopatch-916,46,46,64.1008,32,69.56521739130434,high,high
eopatch-770,44,44,77.98967272727272,37,84.0909090909091,high,high
eopatch-823,38,38,76.25275789473686,31,81.57894736842105,high,high
eopatch-924,46,46,73.7721043478261,38,82.6086956521739,high,high
eopatch-829,38,38,81.02555789473683,32,84.21052631578948,high,high
eopatch-404,19,19,92.10938947368417,18,94.73684210526316,high,high
eopatch-799,38,38,81.41865263157894,33,86.84210526315789,high,high
eopatch-816,38,38,79.91313684210526,32,84.21052631578948,high,high
eopatch-738,38,38,83.77018947368423,32,84.21052631578948,high,high
eopatch-837,38,38,78.96804210526315,33,86.84210526315789,high,high
eopatch-840,38,38,80.78008421052631,32,84.21052631578948,high,high
eopatch-780,38,38,82.15966315789474,33,86.84210526315789,high,high
eopatch-902,38,38,72.02778947368421,27,71.05263157894737,high,high
eopatch-558,22,22,80.7829090909091,19,86.36363636363636,high,high
eopatch-878,38,38,73.43271578947369,28,73.6842105263158,high,high
eopatch-908,38,38,73.0200842105263,29,76.3157894736842,high,high
