filename,num_timesteps,num_timesteps_missing,avg_spatial_coverage,num_timesteps_abovecov,temporal_coverage,assesment_temporal,assesment_spatial
28QDE_00,73,21,83.5153240047089,59,80.82191780821918,high,high
28QDE_01,73,17,87.37529597870291,62,84.93150684931507,high,high
28QDE_02,73,18,86.10409253264126,61,83.56164383561644,high,high
28QDE_03,73,69,82.66726977204624,60,82.1917808219178,high,high
28QDE_04,73,19,84.70379555062073,61,83.56164383561644,high,high
28QDE_05,146,32,85.70318352686216,123,84.24657534246575,high,high
28QDE_06,73,16,87.00921045590754,62,84.93150684931507,high,high
28QDE_07,146,37,85.63042209572988,122,83.56164383561644,high,high
28QDE_08,144,35,88.30857806735568,125,86.80555555555556,high,high
28QDE_09,142,30,93.33068417831205,132,92.95774647887323,high,high
28QDE_10,73,17,89.00804911574272,63,86.3013698630137,high,high
28QDE_11,73,15,89.53926399962543,65,89.04109589041096,high,high
28QDE_12,73,14,87.69301323041525,63,86.3013698630137,high,high
28QDE_13,73,17,86.64216342037672,62,84.93150684931507,high,high
28QDE_14,73,13,89.53230348351883,65,89.04109589041096,high,high
28QDE_15,73,18,85.88290279858732,61,83.56164383561644,high,high
28QDE_16,73,10,91.94001498287672,65,89.04109589041096,high,high
28QDE_17,73,13,88.32932563677225,64,87.67123287671232,high,high
28QDE_18,146,38,84.3062309369649,120,82.1917808219178,high,high
28QDE_19,73,18,86.21934864619007,61,83.56164383561644,high,high
28QDE_20,73,14,90.80614063837757,66,90.41095890410959,high,high
28QDE_21,73,13,90.673828125,66,90.41095890410959,high,high
28QDE_22,73,18,88.10834492722603,63,86.3013698630137,high,high
28QDE_23,73,18,83.8166746374679,59,80.82191780821918,high,high
28QDE_24,73,14,91.14588907320206,64,87.67123287671232,high,high
28QDE_25,146,37,86.35598796687714,124,84.93150684931507,high,high
28QDE_26,73,18,83.56256354345034,59,80.82191780821918,high,high
28QDE_27,146,36,85.6736274614726,125,85.61643835616438,high,high
28QDE_28,146,40,84.29832981057363,119,81.5068493150685,high,high
28QDE_29,73,16,86.03415293236301,61,83.56164383561644,high,high
29NMG_00,73,57,38.82931225920377,23,31.506849315068493,low,low
29NMG_01,73,70,38.28467800192637,18,24.65753424657534,low,low
29NMG_02,73,71,41.21687379601884,24,32.87671232876713,low,low
29NMG_03,73,70,33.5185220796768,15,20.54794520547945,low,low
