filename,num_timesteps,num_timesteps_missing,avg_spatial_coverage,num_timesteps_abovecov,temporal_coverage,assesment_temporal,assesment_spatial
36SWF_00,71,28,78.91428772832306,53,74.64788732394366,high,high
36SWF_01,71,51,63.053442726672536,39,54.929577464788736,low,low
36SWF_02,71,71,71.08001708984375,49,69.01408450704226,low,high
36SWF_03,71,65,82.53904530699823,57,80.28169014084507,high,high
36SWF_04,71,42,75.29608498156911,51,71.83098591549296,high,high
36SWF_05,71,68,75.77523244938381,52,73.2394366197183,high,high
36SWF_06,71,67,67.39693225269586,45,63.38028169014085,low,low
36SWF_07,71,57,79.29403815470951,53,74.64788732394366,high,high
36SWF_08,71,47,70.27458943111796,48,67.6056338028169,low,high
36SWF_09,71,62,75.52597690636003,50,70.4225352112676,high,high
36SWF_10,71,68,72.93198276573503,48,67.6056338028169,low,high
36SWF_11,71,65,66.17973220180458,45,63.38028169014085,low,low
36SWF_12,141,90,65.51234468500665,79,56.02836879432624,low,low
36SWF_13,71,69,68.31119161256602,45,63.38028169014085,low,low
36SWF_14,71,50,65.16603281800177,42,59.15492957746479,low,low
36SWF_15,71,67,72.83789406360036,45,63.38028169014085,low,high
36SWF_16,71,71,77.81844877860915,55,77.46478873239437,high,high
36SWF_18,71,63,72.78880804357394,49,69.01408450704226,low,high
36SWF_19,71,69,67.88153849856954,43,60.563380281690144,low,low
36SWF_20,71,70,75.95206247249119,55,77.46478873239437,high,high
36SWF_21,71,54,80.90987944267165,53,74.64788732394366,high,high
36SWF_22,71,71,62.90433641890405,40,56.33802816901409,low,low
36SWF_23,141,134,79.31332419104609,108,76.59574468085107,high,high
36SWF_24,71,59,67.81736561949823,44,61.971830985915496,low,low
36SWF_25,71,43,65.79099843199823,41,57.74647887323944,low,low
36SWF_26,71,52,69.26190013616858,46,64.78873239436619,low,low
36SWF_27,71,62,77.49702561069542,51,71.83098591549296,high,high
36SWF_28,71,66,69.29368569817342,47,66.19718309859155,low,low
36SWF_29,71,47,66.73712931888204,46,64.78873239436619,low,low
36SXH_00,142,142,35.27606373101893,37,26.056338028169016,low,low
36SXH_01,71,67,68.59650947678257,49,69.01408450704226,low,low
36SXH_02,142,112,63.793902329995596,89,62.67605633802817,low,low
36SXH_03,71,52,53.71272127393266,32,45.070422535211264,low,low
36SXH_04,70,69,60.703342982700896,37,52.857142857142854,low,low
36SXH_05,70,47,62.97119140625,38,54.285714285714285,low,low
36SXH_06,70,68,59.12022181919643,38,54.285714285714285,low,low
36SXH_07,70,56,60.810372488839285,40,57.142857142857146,low,low
36SXH_08,142,142,61.50271993287852,83,58.45070422535211,low,low
36SXH_09,71,71,62.956431214238556,42,59.15492957746479,low,low
36SXH_10,70,44,62.343575613839285,41,58.57142857142857,low,low
36SXH_11,142,142,68.09668742435079,89,62.67605633802817,low,low
36SXH_12,71,42,65.41943617270026,43,60.563380281690144,low,low
36SXH_13,71,68,63.094319088358276,42,59.15492957746479,low,low
36SXH_14,70,68,62.16273716517857,42,60.0,low,low
36SXH_15,70,68,59.10186767578125,39,55.714285714285715,low,low
36SXH_16,70,68,61.868198939732146,42,60.0,low,low
36SXH_17,70,70,63.32606724330357,43,61.42857142857143,low,low
36SXH_18,142,110,64.23485984264964,80,56.33802816901409,low,low
36SXH_19,70,70,55.50236293247768,36,51.42857142857143,low,low
36SXH_20,70,67,63.337620326450896,44,62.857142857142854,low,low
36SXH_21,70,49,54.860447474888396,32,45.714285714285715,low,low
36SXH_22,70,68,67.36086164202008,44,62.857142857142854,low,low
36SXH_23,70,62,62.095162527901785,41,58.57142857142857,low,low
36SXH_24,71,69,67.10669289172536,46,64.78873239436619,low,low
36SXH_25,70,70,63.079833984375,43,61.42857142857143,low,low
36SXH_26,70,69,57.596021379743306,40,57.142857142857146,low,low
36SXH_27,143,100,67.06735037423513,89,62.23776223776224,low,low
36SXH_28,70,70,55.46271187918527,32,45.714285714285715,low,low
36SXH_29,70,64,65.70774623325893,43,61.42857142857143,low,low
37SFU_00,72,60,46.12621731228299,30,41.666666666666664,low,low
37SFU_01,72,67,76.94596184624567,52,72.22222222222223,high,high
37SFU_02,67,17,89.75948504547574,60,89.55223880597015,high,high
