filename,num_timesteps,num_timesteps_missing,avg_spatial_coverage,num_timesteps_abovecov,temporal_coverage,assesment_temporal,assesment_spatial
30SWH_00,71,71,61.90873239436619,45,63.38,high,high
30SWH_01,144,144,69.34500000000004,102,70.83,high,high
30SWH_02,71,42,64.26309859154928,45,63.38,high,high
30SWH_03,71,50,62.431971830985916,46,64.79,high,high
30SWH_04,71,47,59.777605633802814,44,61.97,high,high
30SWH_05,71,70,62.409718309859144,44,61.97,high,high
30SWH_06,91,52,68.7523076923077,63,69.23,high,high
30SWH_07,71,56,57.65718309859156,42,59.15,high,high
30SWH_08,71,63,57.02422535211266,39,54.93,high,high
30SWH_09,143,104,66.48160839160838,96,67.13,high,high
30SWH_10,71,47,58.654084507042235,42,59.15,high,high
30SWH_11,143,80,67.75783216783216,98,68.53,high,high
30SWH_12,71,47,63.06507042253522,46,64.79,high,high
30SWH_13,71,54,61.76845070422533,45,63.38,high,high
30SWH_14,71,70,62.003380281690134,45,63.38,high,high
30SWH_15,134,85,71.3689552238806,99,73.88,high,high
30SWH_16,143,93,68.34314685314686,102,71.33,high,high
30SWH_17,143,114,65.46720279720276,95,66.43,high,high
30SWH_18,143,87,64.313986013986,90,62.94,high,high
30SWH_19,143,111,70.32034965034966,105,73.43,high,high
30SWH_20,143,138,71.14636363636363,104,72.73,high,high
30SWH_21,143,114,66.3626573426573,97,67.83,high,high
30SWH_22,143,113,67.38699300699298,95,66.43,high,high
30SWH_23,71,55,57.141830985915504,43,60.56,high,high
30SWH_24,71,54,60.062535211267615,42,59.15,high,high
30SWH_25,71,53,65.5125352112676,49,69.01,high,high
30SWH_26,71,48,59.23690140845073,40,56.34,high,high
30SWH_27,144,142,69.67201388888886,101,70.14,high,high
30SWH_28,143,105,70.14419580419579,100,69.93,high,high
30SWH_29,144,88,69.58458333333333,101,70.14,high,high
30TYN_00,73,73,66.44739726027396,50,68.49,high,high
30TYN_01,144,143,44.92215277777777,67,46.53,low,low
30TYN_02,143,139,54.461468531468526,77,53.85,high,high
30TYN_03,143,140,44.64776223776225,65,45.45,low,low
30TYN_04,143,115,70.43993006993007,108,75.52,high,high
30TYN_05,144,120,47.90770833333331,69,47.92,low,low
30TYN_06,143,134,45.50503496503497,67,46.85,low,low
30TYN_07,143,131,49.13370629370629,71,49.65,low,low
30TYN_08,144,129,46.30812499999998,65,45.14,low,low
30TYN_09,73,72,59.066712328767125,43,58.9,high,high
30TYN_10,73,60,61.87753424657534,50,68.49,high,high
30TYN_11,144,108,59.17944444444444,87,60.42,high,high
30TYN_12,73,57,62.2331506849315,50,68.49,high,high
30TYN_13,73,73,53.273561643835606,39,53.42,high,high
30TYN_14,73,73,54.534383561643835,42,57.53,high,high
30TYN_15,144,111,52.27333333333331,76,52.78,high,high
30TYN_16,73,63,54.3554794520548,43,58.9,high,high
30TYN_17,143,136,46.451538461538426,69,48.25,low,low
30TYN_18,143,140,50.517762237762234,73,51.05,high,high
30TYN_19,73,63,57.58438356164381,41,56.16,high,high
30TYN_20,73,65,40.00849315068493,29,39.73,low,low
30TYN_21,143,139,47.38356643356641,66,46.15,low,low
30TYN_22,143,135,46.744125874125885,68,47.55,low,low
30TYN_23,143,143,41.95762237762239,59,41.26,low,low
