filename,num_timesteps,num_timesteps_missing,avg_spatial_coverage,num_timesteps_abovecov,temporal_coverage,assesment_temporal,assesment_spatial
30SWH_00,71,71,27.369625467649648,0,0.0,low,low
30SWH_01,144,144,56.46486282348633,80,55.55555555555556,low,low
30SWH_02,71,50,54.57660513864437,35,49.29577464788732,low,low
30SWH_03,71,70,43.543963365151846,23,32.394366197183096,low,low
30SWH_04,71,71,47.21316485337808,30,42.25352112676056,low,low
30SWH_05,71,71,51.017954651738556,36,50.70422535211268,low,low
30SWH_06,91,76,38.239866822630496,32,35.16483516483517,low,low
30SWH_07,71,62,41.181494484485036,23,32.394366197183096,low,low
30SWH_08,71,71,45.276308731294016,28,39.436619718309856,low,low
30SWH_09,143,143,53.31604430725525,68,47.55244755244755,low,low
30SWH_10,71,62,47.58373851507482,30,42.25352112676056,low,low
30SWH_11,143,128,55.99585046301355,77,53.84615384615385,low,low
30SWH_12,71,71,50.834935147997356,32,45.070422535211264,low,low
30SWH_13,71,71,51.91723460882482,32,45.070422535211264,low,low
30SWH_14,71,71,48.436167542363556,31,43.66197183098591,low,low
30SWH_15,134,134,24.660355297487172,25,18.65671641791045,low,low
30SWH_16,143,123,54.43977409309441,71,49.65034965034965,low,low
30SWH_17,143,129,54.16582014177229,69,48.25174825174825,low,low
30SWH_18,143,142,50.19516311325393,66,46.15384615384615,low,low
30SWH_19,143,141,57.39355554113855,76,53.14685314685315,low,low
30SWH_20,143,143,61.86651483282343,89,62.23776223776224,low,low
30SWH_21,143,140,52.4651480721427,68,47.55244755244755,low,low
30SWH_22,143,142,55.79454115220717,79,55.24475524475525,low,low
30SWH_23,71,71,43.156153719190144,23,32.394366197183096,low,low
30SWH_24,71,71,50.028454417913736,34,47.88732394366197,low,low
30SWH_25,71,71,49.67634174185739,32,45.070422535211264,low,low
30SWH_26,71,71,47.465794522997356,30,42.25352112676056,low,low
30SWH_27,144,144,55.62354193793403,76,52.77777777777778,low,low
30SWH_28,143,134,55.90666657561189,73,51.04895104895105,low,low
30SWH_29,144,143,60.3038575914171,81,56.25,low,low
30TYN_00,73,73,19.273606391802225,0,0.0,low,low
30TYN_01,144,144,28.858333163791233,42,29.166666666666668,low,low
30TYN_02,143,143,16.16368860631556,20,13.986013986013987,low,low
30TYN_03,143,143,35.9383963204764,50,34.96503496503497,low,low
30TYN_04,143,141,27.542861191542833,25,17.482517482517483,low,low
30TYN_05,144,144,38.054000006781685,51,35.416666666666664,low,low
30TYN_06,143,143,22.452081000054633,24,16.783216783216783,low,low
30TYN_07,143,143,28.223797991559223,31,21.678321678321677,low,low
30TYN_08,144,144,36.37563917371962,49,34.02777777777778,low,low
30TYN_09,73,73,39.65199091663099,22,30.136986301369863,low,low
30TYN_10,73,69,51.99934031865368,33,45.205479452054796,low,low
30TYN_11,144,137,46.71045939127604,61,42.361111111111114,low,low
30TYN_12,73,72,48.55428199245505,28,38.35616438356164,low,low
30TYN_13,73,73,16.713432416523972,8,10.95890410958904,low,low
30TYN_14,73,73,17.004164604291525,3,4.109589041095891,low,low
30TYN_15,144,134,38.662666744656036,45,31.25,low,low
30TYN_16,73,69,44.68877086900685,30,41.0958904109589,low,low
30TYN_17,143,143,32.73592862215909,36,25.174825174825173,low,low
30TYN_18,143,143,14.660580508358828,11,7.6923076923076925,low,low
30TYN_19,73,72,46.024562887949486,31,42.465753424657535,low,low
30TYN_20,73,73,27.432021049604025,13,17.80821917808219,low,low
30TYN_21,143,143,39.26438551682692,53,37.06293706293706,low,low
30TYN_22,143,143,25.13811871722028,30,20.97902097902098,low,low
30TYN_23,143,143,21.204594965581293,22,15.384615384615385,low,low
30TYN_24,73,73,35.65249508374358,17,23.28767123287671,low,low
30TYN_25,73,65,27.847540868471746,14,19.17808219178082,low,low
30TYN_26,73,73,26.112867381474743,14,19.17808219178082,low,low
30TYN_27,73,73,10.427354786494007,0,0.0,low,low
30TYN_28,73,73,50.08728863441781,33,45.205479452054796,low,low
30TYN_29,143,143,39.83781721208479,48,33.56643356643357,low,low
30UWD_00,145,145,15.327716695851294,1,0.6896551724137931,low,low
30UWD_01,145,145,9.011409364897629,1,0.6896551724137931,low,low
30UWD_02,146,146,15.590594566031678,3,2.0547945205479454,low,low
