filename,num_timesteps,num_timesteps_missing,avg_spatial_coverage,num_timesteps_abovecov,temporal_coverage,assesment_temporal,assesment_spatial
30SWH_00,71,71,61.90860372194102,45,63.38028169014085,high,high
30SWH_01,144,144,69.34465832180447,102,70.83333333333333,high,high
30SWH_02,71,42,64.26301338303257,45,63.38028169014085,high,high
30SWH_03,71,50,62.43180825676716,46,64.78873239436619,high,high
30SWH_04,71,47,59.77748817121479,44,61.971830985915496,high,high
30SWH_05,71,70,62.40982270576585,44,61.971830985915496,high,high
30SWH_06,91,52,68.7525151850103,63,69.23076923076923,high,high
30SWH_07,71,56,57.65703228158011,42,59.15492957746479,high,high
30SWH_08,71,63,57.02411490426937,39,54.929577464788736,high,high
30SWH_09,143,105,66.48177567061845,96,67.13286713286713,high,high
30SWH_10,71,47,58.65431234870159,42,59.15492957746479,high,high
30SWH_11,143,81,67.75805066515515,98,68.53146853146853,high,high
30SWH_12,71,47,63.065176950374116,46,64.78873239436619,high,high
30SWH_13,71,54,61.76869567011444,45,63.38028169014085,high,high
30SWH_14,71,70,62.00335865289393,45,63.38028169014085,high,high
30SWH_15,134,85,71.36869288202541,99,73.88059701492537,high,high
30SWH_16,143,93,68.3427717302229,102,71.32867132867133,high,high
30SWH_17,143,114,65.46797318892045,95,66.43356643356644,high,high
30SWH_18,143,87,64.31389655266608,90,62.93706293706294,high,high
30SWH_19,143,111,70.32050286139642,105,73.42657342657343,high,high
30SWH_20,143,138,71.14633413461539,104,72.72727272727273,high,high
30SWH_21,143,114,66.36283180930398,97,67.83216783216783,high,high
30SWH_22,143,113,67.3871233746722,95,66.43356643356644,high,high
30SWH_23,71,55,57.14197293133803,43,60.563380281690144,high,high
30SWH_24,71,54,60.06211831536091,42,59.15492957746479,high,high
30SWH_25,71,53,65.51268671599912,49,69.01408450704226,high,high
30SWH_26,71,48,59.237155108384684,40,56.33802816901409,high,high
30SWH_27,144,142,69.67165205213759,101,70.13888888888889,high,high
30SWH_28,143,105,70.14441856971153,100,69.93006993006993,high,high
30SWH_29,144,88,69.58480411105685,101,70.13888888888889,high,high
30TYN_00,73,73,66.44703068145334,50,68.4931506849315,high,high
30TYN_01,144,143,44.92206573486328,67,46.52777777777778,low,low
30TYN_02,143,139,54.46181930862107,77,53.84615384615385,high,high
30TYN_03,143,140,44.64753691133085,65,45.45454545454545,low,low
30TYN_04,143,115,70.44018298595935,108,75.52447552447552,high,high
30TYN_05,144,120,47.90783988104926,69,47.916666666666664,low,low
30TYN_06,143,134,45.50525158435315,67,46.85314685314685,low,low
30TYN_07,143,131,49.13347150895979,71,49.65034965034965,low,low
30TYN_08,144,129,46.30830552842882,65,45.138888888888886,low,low
30TYN_09,73,72,59.06631260702055,43,58.9041095890411,high,high
30TYN_10,73,60,61.87773404056079,50,68.4931506849315,high,high
30TYN_11,144,108,59.17965571085612,87,60.416666666666664,high,high
30TYN_12,73,57,62.23336833797089,50,68.4931506849315,high,high
30TYN_13,73,73,53.27315657106164,39,53.42465753424658,high,high
30TYN_14,73,73,54.53451496281036,42,57.534246575342465,high,high
30TYN_15,144,111,52.27352778116862,76,52.77777777777778,high,high
30TYN_16,73,63,54.35544366705908,43,58.9041095890411,high,high
30TYN_17,143,136,46.45176600743007,69,48.25174825174825,low,low
30TYN_18,143,140,50.51817994017701,73,51.04895104895105,high,high
30TYN_19,73,63,57.58437065229024,41,56.16438356164384,high,high
30TYN_20,73,65,40.0089002635381,29,39.726027397260275,low,low
30TYN_21,143,139,47.38349114264641,66,46.15384615384615,low,low
30TYN_22,143,135,46.74383843695367,68,47.55244755244755,low,low
30TYN_23,143,143,41.95744441105769,59,41.25874125874126,low,low
30TYN_24,73,68,52.226152811964894,38,52.054794520547944,high,high
30TYN_25,73,61,42.25819208850599,32,43.83561643835616,low,low
30TYN_26,73,68,44.67625030099529,33,45.205479452054796,low,low
30TYN_27,73,71,44.985313938088616,35,47.945205479452056,low,low
30TYN_28,73,72,63.741521965967465,46,63.013698630136986,high,high
30TYN_29,143,122,50.02573720225087,73,51.04895104895105,high,high
30UWD_00,145,136,35.51111681707974,50,34.48275862068966,low,low
30UWD_01,145,145,32.18929948477909,46,31.724137931034484,low,low
30UWD_02,146,146,36.26023383989726,53,36.3013698630137,low,low
30UWD_03,145,124,36.684612405711206,49,33.793103448275865,low,low
30UWD_04,145,130,37.308054956896555,55,37.93103448275862,low,low
30UWD_05,145,145,32.62133368130388,46,31.724137931034484,low,low
30UWD_06,72,72,33.613077799479164,24,33.333333333333336,low,low
30UWD_07,145,145,40.65447577114763,60,41.37931034482759,low,low
30UWD_08,145,145,39.7979525862069,59,40.689655172413794,low,low
30UWD_09,145,143,30.3240966796875,44,30.344827586206897,low,low
30UWD_10,145,145,31.73285122575431,48,33.10344827586207,low,low
30UWD_11,145,143,36.905138739224135,53,36.55172413793103,low,low
30UWD_12,145,145,38.271442281788794,56,38.62068965517241,low,low
30UWD_13,145,144,33.963696709994615,48,33.10344827586207,low,low
30UWD_14,145,145,36.15253316945043,56,38.62068965517241,low,low
30UWD_15,145,145,41.05712890625,62,42.758620689655174,low,low
30UWD_16,145,141,35.86566793507543,54,37.241379310344826,low,low
30UWD_17,145,142,34.83072215113147,51,35.172413793103445,low,low
30UWD_18,145,138,39.8053188981681,62,42.758620689655174,low,low
30UWD_19,72,67,34.86673567030165,27,37.5,low,low
30UWD_20,145,139,31.831138873922413,44,30.344827586206897,low,low
30UWD_21,145,131,38.33788641567888,57,39.310344827586206,low,low
30UWD_22,145,143,32.461716224407326,47,32.41379310344828,low,low
30UWD_23,72,71,34.091758728027344,24,33.333333333333336,low,low
30UWD_24,72,72,32.0640140109592,23,31.944444444444443,low,low
30UWD_25,72,64,32.078848944769966,25,34.72222222222222,low,low
30UWD_26,72,69,32.69763522677951,22,30.555555555555557,low,low
30UWD_27,145,145,33.93243197737069,50,34.48275862068966,low,low
30UWD_28,139,121,64.66019445186039,93,66.90647482014388,high,high
30UWD_29,72,71,35.37118699815538,26,36.111111111111114,low,low
30UYU_00,71,68,47.12492177184199,33,46.478873239436616,low,low
30UYU_01,71,71,42.941004793408894,33,46.478873239436616,low,low
30UYU_02,71,71,43.28974334286972,31,43.66197183098591,low,low
30UYU_03,71,58,45.775679467429576,31,43.66197183098591,low,low
30UYU_04,144,114,44.86000272962782,66,45.833333333333336,low,low
30UYU_05,71,61,48.705839774977996,37,52.11267605633803,high,low
30UYU_06,71,70,47.85358267770687,36,50.70422535211268,high,low
30UYU_07,144,126,42.541302575005425,60,41.666666666666664,low,low
30UYU_08,71,67,40.77238700759243,29,40.84507042253521,low,low
30UYU_09,144,135,42.84496307373047,62,43.05555555555556,low,low
30UYU_10,71,68,49.372111575704224,36,50.70422535211268,high,low
30UYU_11,144,124,41.494952307807075,60,41.666666666666664,low,low
30UYU_12,144,131,45.86088392469618,66,45.833333333333336,low,low
30UYU_13,71,70,45.89401030204665,35,49.29577464788732,low,low
30UYU_14,144,140,42.90358225504557,64,44.44444444444444,low,low
30UYU_15,71,59,47.02982298085387,36,50.70422535211268,high,low
30UYU_16,71,55,46.323083152233714,34,47.88732394366197,low,low
30UYU_17,144,141,45.79877853393555,70,48.611111111111114,low,low
30UYU_18,144,127,41.71877966986762,60,41.666666666666664,low,low
30UYU_19,71,71,44.99356981734155,32,45.070422535211264,low,low
30UYU_20,71,69,44.00875467649648,33,46.478873239436616,low,low
30UYU_21,71,70,47.01465015680018,35,49.29577464788732,low,low
30UYU_22,71,67,47.08372304137324,35,49.29577464788732,low,low
30UYU_23,144,120,46.5952025519477,70,48.611111111111114,low,low
30UYU_24,71,58,44.26020232724472,33,46.478873239436616,low,low
30UYU_25,71,66,45.49784055897887,33,46.478873239436616,low,low
30UYU_26,71,69,47.90713887819102,34,47.88732394366197,low,low
30UYU_27,71,58,45.155549385178254,35,49.29577464788732,low,low
30UYU_28,144,126,42.432244618733726,63,43.75,low,low
30UYU_29,144,115,43.68369844224718,64,44.44444444444444,low,low
30VUJ_00,145,124,36.697398218615305,50,34.48275862068966,low,low
30VUJ_01,145,139,34.70905172413793,48,33.10344827586207,low,low
30VUJ_02,145,138,27.908588277882544,38,26.20689655172414,low,low
30VUJ_03,145,121,39.97063998518319,63,43.44827586206897,low,low
30VUJ_04,146,134,40.239057148972606,61,41.78082191780822,low,low
30VUJ_05,146,137,37.22187199004709,54,36.986301369863014,low,low
30VUJ_06,145,139,28.951615958378234,46,31.724137931034484,low,low
30VUJ_07,146,141,30.503782507491437,43,29.45205479452055,low,low
30VUJ_08,145,122,37.088054788523706,50,34.48275862068966,low,low
30VUJ_09,146,136,34.52003165467145,49,33.56164383561644,low,low
30VUJ_10,146,141,37.532607823202056,55,37.67123287671233,low,low
30VUJ_11,145,129,34.36321390086207,48,33.10344827586207,low,low
30VUJ_12,145,138,30.192681674299568,38,26.20689655172414,low,low
30VUJ_13,145,116,42.9431362809806,65,44.827586206896555,low,low
30VUJ_14,146,141,31.14960552894906,44,30.136986301369863,low,low
30VUJ_15,146,136,34.3193576760488,46,31.506849315068493,low,low
30VUJ_16,145,142,30.006356074892242,45,31.03448275862069,low,low
30VUJ_17,145,135,30.937079067887932,42,28.96551724137931,low,low
30VUJ_18,145,121,39.57953091325431,54,37.241379310344826,low,low
30VUJ_19,146,143,31.9355794828232,40,27.397260273972602,low,low
30VUJ_20,144,134,32.32222663031684,45,31.25,low,low
30VUJ_21,145,130,34.01636584051724,49,33.793103448275865,low,low
30VUJ_22,146,137,33.32534162965539,46,31.506849315068493,low,low
30VUJ_23,145,132,33.56069630589978,46,31.724137931034484,low,low
30VUJ_24,218,207,36.0929086667682,73,33.48623853211009,low,low
30VUJ_25,145,136,32.61935530037716,48,33.10344827586207,low,low
30VUJ_26,145,140,34.413988836880385,51,35.172413793103445,low,low
30VUJ_27,146,143,39.72422978649401,60,41.0958904109589,low,low
30VUJ_28,218,210,36.15298489911841,76,34.862385321100916,low,low
30VUJ_29,146,143,32.81286579288849,45,30.82191780821918,low,low
31TCF_00,144,75,67.66082975599501,99,68.75,high,high
31TCF_01,144,143,58.146561516655815,87,60.416666666666664,high,high
31TCF_02,144,129,64.62035708957248,94,65.27777777777777,high,high
31TCF_03,144,108,51.496971978081596,72,50.0,high,high
31TCF_04,145,136,67.72345181169182,101,69.65517241379311,high,high
31TCF_05,145,136,60.96481849407328,92,63.44827586206897,high,high
31TCF_06,72,67,68.61722734239366,49,68.05555555555556,high,high
31TCF_07,144,117,57.53389994303385,89,61.80555555555556,high,high
31TCF_08,144,140,64.55232832166884,92,63.888888888888886,high,high
31TCF_09,72,47,68.10404459635417,51,70.83333333333333,high,high
31TCF_10,73,49,66.00678326332405,48,65.75342465753425,high,high
31TCF_11,144,142,59.29044087727865,92,63.888888888888886,high,high
31TCF_12,72,63,68.08759901258681,52,72.22222222222223,high,high
31TCF_13,144,120,52.51493453979492,77,53.47222222222222,high,high
31TCF_14,73,53,65.25912350171232,49,67.12328767123287,high,high
31TCF_15,144,144,67.54415300157335,96,66.66666666666667,high,high
31TCF_16,144,116,52.9227786593967,76,52.77777777777778,high,high
31TCF_17,144,99,58.8401370578342,86,59.72222222222222,high,high
31TCF_18,144,144,59.75496504041884,89,61.80555555555556,high,high
31TCF_19,144,144,61.81104448106554,91,63.19444444444444,high,high
31TCF_20,72,47,69.36946445041232,50,69.44444444444444,high,high
31TCF_21,144,143,60.270606146918404,87,60.416666666666664,high,high
31TCF_22,144,109,58.203442891438804,85,59.02777777777778,high,high
31TCF_23,73,57,68.50092639661815,50,68.4931506849315,high,high
31TCF_24,144,144,61.78410847981771,94,65.27777777777777,high,high
31TCF_25,145,144,59.022595635775865,96,66.20689655172414,high,high
31TCF_26,73,48,67.83033397099743,51,69.86301369863014,high,high
31TCF_27,145,142,57.46901939655172,85,58.62068965517241,high,high
31TCF_28,144,120,58.05159674750434,87,60.416666666666664,high,high
31TCF_29,144,144,60.24409400092231,93,64.58333333333333,high,high
31TEJ_00,72,36,67.79632568359375,50,69.44444444444444,high,high
31TEJ_01,72,72,59.293365478515625,43,59.72222222222222,high,high
31TEJ_02,145,145,63.66968615301724,93,64.13793103448276,high,high
31TEJ_03,145,145,52.502483499461206,90,62.06896551724138,high,high
31TEJ_04,72,47,59.34575398763021,41,56.94444444444444,high,high
31TEJ_05,72,59,62.64817979600694,47,65.27777777777777,high,high
31TEJ_06,72,48,53.74009874131944,39,54.166666666666664,high,high
31TEJ_07,72,72,53.336991204155815,38,52.77777777777778,high,high
31TEJ_08,72,53,55.08249070909288,40,55.55555555555556,high,high
31TEJ_09,72,70,56.13873799641927,40,55.55555555555556,high,high
31TEJ_10,72,51,62.020958794487846,46,63.888888888888886,high,high
31TEJ_11,72,71,61.155192057291664,45,62.5,high,high
31TEJ_12,72,50,52.114507887098526,38,52.77777777777778,high,high
31TEJ_13,72,66,61.158392164442276,45,62.5,high,high
31TEJ_14,72,49,54.93645138210721,41,56.94444444444444,high,high
31TEJ_15,72,66,57.32294718424479,43,59.72222222222222,high,high
31TEJ_16,72,54,60.66063774956597,44,61.111111111111114,high,high
31TEJ_17,72,72,56.76617092556424,38,52.77777777777778,high,high
31TEJ_18,72,60,54.583825005425346,39,54.166666666666664,high,high
31TEJ_19,72,72,59.63041517469618,42,58.333333333333336,high,high
31TEJ_20,72,53,56.129773457845054,42,58.333333333333336,high,high
31TEJ_21,72,55,58.26954311794705,43,59.72222222222222,high,high
31TEJ_22,72,43,63.23869493272569,44,61.111111111111114,high,high
31TEJ_23,72,58,64.77720472547743,47,65.27777777777777,high,high
31TEJ_24,72,62,64.83366224500868,47,65.27777777777777,high,high
31TEJ_25,72,51,53.42322455512153,38,52.77777777777778,high,high
31TEJ_26,72,63,62.2414059109158,46,63.888888888888886,high,high
31TEJ_27,72,61,66.08509487575955,48,66.66666666666667,high,high
31TEJ_28,72,72,63.345421685112846,46,63.888888888888886,high,high
31TEJ_29,72,53,52.8967539469401,39,54.166666666666664,high,high
31TGK_00,72,72,58.860270182291664,43,59.72222222222222,high,high
31TGK_01,72,72,60.67985958523221,45,62.5,high,high
31TGK_02,72,71,50.48870510525174,38,52.77777777777778,high,high
