filename,num_timesteps,num_timesteps_missing,avg_spatial_coverage,num_timesteps_abovecov,temporal_coverage,assesment_temporal,assesment_spatial
10SGJ_00,125,44,82.874072265625,100,80.0,high,high
10SGJ_01,126,55,81.0087173704117,97,76.98412698412699,high,high
10SGJ_02,125,113,75.63824462890625,90,72.0,high,high
10SGJ_03,130,113,72.77830857496996,93,71.53846153846153,high,high
10SGJ_04,128,68,78.09698581695557,96,75.0,high,high
10SGJ_05,125,68,80.1738037109375,96,76.8,high,high
10SGJ_06,130,58,78.37931706355168,97,74.61538461538461,high,high
10SGJ_07,126,103,73.89952644469246,90,71.42857142857143,high,high
10SGJ_08,66,51,75.73186700994319,50,75.75757575757575,high,high
10SGJ_09,130,129,74.12188016451321,94,72.3076923076923,high,high
10SGJ_10,128,92,77.19063758850098,96,75.0,high,high
10SGJ_11,126,105,77.03021821521577,89,70.63492063492063,high,high
10SGJ_12,128,112,73.24042320251465,90,70.3125,high,high
10SGJ_13,126,123,79.9805414109003,98,77.77777777777777,high,high
10SGJ_14,126,104,78.0897231329055,97,76.98412698412699,high,high
10SGJ_15,87,59,82.4640559053969,70,80.45977011494253,high,high
10SGJ_16,125,118,75.2880126953125,91,72.8,high,high
10SGJ_17,125,78,78.4177978515625,94,75.2,high,high
10SGJ_18,67,60,76.76546466884328,49,73.13432835820896,high,high
10SGJ_19,126,116,80.49915858677456,99,78.57142857142857,high,high
10SGJ_20,128,119,81.71330690383911,103,80.46875,high,high
10SGJ_21,123,90,87.2955694431212,107,86.99186991869918,high,high
10SGJ_22,125,89,77.86212158203125,93,74.4,high,high
10SGJ_23,126,123,73.60280354817708,91,72.22222222222223,high,high
10SGJ_24,66,55,75.65728389855587,47,71.21212121212122,high,high
10SGJ_25,126,119,74.36387803819444,91,72.22222222222223,high,high
10SGJ_26,126,116,71.81369842044892,88,69.84126984126983,low,high
10SGJ_27,127,59,79.52955351101131,97,76.37795275590551,high,high
10SGJ_28,129,68,78.78494854121246,98,75.96899224806202,high,high
10SGJ_29,126,125,72.85719371977306,84,66.66666666666667,low,high
10UCC_00,118,74,64.81677556442003,62,52.54237288135593,low,low
10UCC_01,106,80,65.49570335532134,67,63.20754716981132,low,low
10UCC_02,106,103,63.10083641196197,57,53.77358490566038,low,low
10UCC_03,107,53,80.18259779315129,79,73.83177570093459,high,high
10UCC_04,114,87,54.471092893366226,51,44.73684210526316,low,low
10UCC_05,118,101,66.30966703770524,71,60.16949152542373,low,low
10UCC_06,119,93,54.646968040145744,56,47.05882352941177,low,low
10UCC_07,116,114,58.66146745352909,64,55.172413793103445,low,low
10UCC_08,106,102,60.312523032134436,57,53.77358490566038,low,low
10UCC_09,116,116,60.02981251683728,66,56.89655172413793,low,low
10UCC_10,106,92,56.54332862710053,54,50.943396226415096,low,low
10UCC_11,119,93,49.411998075597424,51,42.857142857142854,low,low
10UCC_12,106,84,58.650970458984375,55,51.886792452830186,low,low
10UCC_13,119,107,57.93785287552521,59,49.57983193277311,low,low
10UCC_14,116,113,58.83066900845232,62,53.44827586206897,low,low
10UCC_15,106,90,58.06838701356132,53,50.0,low,low
10UCC_16,107,105,61.19182265807535,57,53.271028037383175,low,low
10UCC_17,107,102,67.26223954530519,70,65.42056074766356,low,low
10UCC_18,116,111,70.4065520187904,78,67.24137931034483,low,high
10UCC_19,106,105,55.23269941221993,43,40.56603773584906,low,low
10UCC_20,116,115,65.23429607522898,71,61.206896551724135,low,low
10UCC_21,106,104,62.58471506946492,59,55.660377358490564,low,low
