filename,num_timesteps,num_timesteps_missing,avg_spatial_coverage,num_timesteps_abovecov,temporal_coverage,assesment_temporal,assesment_spatial
17NRB_00,57,57,29.908725671600877,17,29.82456140350877,low,low
17NRB_01,65,65,30.79547588641827,16,24.615384615384617,low,low
17NRB_02,57,57,21.14841394257127,7,12.280701754385966,low,low
17NRB_03,59,59,15.81669177039195,6,10.169491525423728,low,low
17NRB_04,60,60,25.072886149088543,12,20.0,low,low
17NRB_05,60,57,38.6322021484375,23,38.333333333333336,low,low
17NRB_06,59,55,69.46020611261918,43,72.88135593220339,high,high
17NRB_07,57,57,33.16131056400768,18,31.57894736842105,low,low
17NRB_08,57,57,40.69733201411732,21,36.8421052631579,low,low
17NRB_09,60,60,31.927693684895832,20,33.333333333333336,low,low
17NRB_10,60,56,51.37115478515625,30,50.0,high,high
17NRB_11,57,54,32.08468253152412,18,31.57894736842105,low,low
17NRB_12,60,56,34.9993896484375,19,31.666666666666668,low,low
17NRB_13,60,60,26.151987711588543,16,26.666666666666668,low,low
17NRB_14,57,54,44.22719855057566,20,35.08771929824562,low,low
17NRB_15,60,60,38.954315185546875,25,41.666666666666664,low,low
17NRB_16,57,57,33.63778632983827,17,29.82456140350877,low,low
17NRB_17,57,55,30.86976168448465,15,26.31578947368421,low,low
17NRB_18,60,60,26.081441243489582,14,23.333333333333332,low,low
17NRB_19,60,56,59.046834309895836,39,65.0,high,high
17NRB_20,60,60,25.538686116536457,13,21.666666666666668,low,low
17NRB_21,57,56,36.79129617256031,16,28.07017543859649,low,low
17NRB_22,57,57,43.002587033991226,24,42.10526315789474,low,low
17NRB_23,60,59,43.425699869791664,23,38.333333333333336,low,low
17NRB_24,60,59,30.203603108723957,18,30.0,low,low
17NRB_25,57,54,64.26715516207511,40,70.17543859649123,high,high
17NRB_26,62,60,31.761366321194558,18,29.032258064516128,low,low
17NRB_27,60,55,61.031392415364586,38,63.333333333333336,high,high
17NRB_28,60,60,20.912984212239582,12,20.0,low,low
17NRB_29,59,52,67.0109118445445,44,74.57627118644068,high,high
18GXU_00,53,26,71.4134360259434,38,71.69811320754717,high,high
18GXU_01,55,55,58.28679865056818,31,56.36363636363637,high,high
18GXU_02,58,58,62.43154591527478,37,63.793103448275865,high,high
18GXU_03,135,120,42.796608253761576,58,42.96296296296296,low,low
18GXU_04,134,117,51.082110049119635,72,53.73134328358209,high,high
18GXU_05,55,53,53.80082563920455,30,54.54545454545455,high,high
18GXU_06,53,46,58.49655439268868,33,62.264150943396224,high,high
18GXU_07,55,42,74.19677734375,42,76.36363636363636,high,high
18GXU_08,135,128,42.765627260561345,56,41.48148148148148,low,low
18GXU_09,116,100,54.32134167901401,64,55.172413793103445,high,high
18GXU_10,53,41,60.72180406102594,35,66.0377358490566,high,high
18GXU_11,116,87,50.577966098127696,57,49.13793103448276,low,high
18GXU_12,53,42,65.72156222361438,36,67.9245283018868,high,high
18GXU_13,116,96,51.10757761988147,60,51.724137931034484,high,high
18GXU_14,116,104,44.40836413153286,51,43.96551724137931,low,low
18GXU_15,53,41,66.50206367924528,37,69.81132075471699,high,high
18GXU_16,58,52,60.377028892780174,34,58.62068965517241,high,high
18GXU_17,58,58,60.19155568089978,38,65.51724137931035,high,high
18GXU_18,116,115,53.719040443157326,63,54.310344827586206,high,high
18GXU_19,134,111,48.86607839100397,63,47.014925373134325,low,low
18GXU_20,116,75,53.87775815766433,60,51.724137931034484,high,high
18GXU_21,95,69,78.49297774465461,77,81.05263157894737,high,high
18GXU_22,53,51,62.086688347582545,34,64.15094339622641,high,high
18GXU_23,53,50,65.045166015625,36,67.9245283018868,high,high
18GXU_24,54,53,61.044594093605326,34,62.96296296296296,high,high
18GXU_25,53,48,69.16895452535377,35,66.0377358490566,high,high
18GXU_26,135,107,44.84369348596643,58,42.96296296296296,low,low
18GXU_27,135,126,46.02758336950232,63,46.666666666666664,low,low
18GXU_28,135,118,40.419198495370374,54,40.0,low,low
18GXU_29,135,113,43.704110604745374,58,42.96296296296296,low,low
18HYD_00,125,66,71.74285888671875,88,70.4,high,high
18HYD_01,59,59,70.03429865432997,43,72.88135593220339,high,high
18HYD_02,125,112,71.9251708984375,92,73.6,high,high
18HYD_03,59,32,75.61177399198888,45,76.27118644067797,high,high
18HYD_04,59,35,73.58377747616525,43,72.88135593220339,high,high
18HYD_05,59,43,69.35621358580508,40,67.79661016949153,high,high
18HYD_06,59,39,70.65685724807997,45,76.27118644067797,high,high
18HYD_07,59,24,73.59621726860435,44,74.57627118644068,high,high
18HYD_08,58,45,70.38942534348061,42,72.41379310344827,high,high
18HYD_09,60,26,74.57705179850261,45,75.0,high,high
18HYD_10,59,25,71.78815421411547,42,71.1864406779661,high,high
18HYD_11,59,59,72.71081956766419,46,77.96610169491525,high,high
18HYD_12,58,39,67.59990823679956,39,67.24137931034483,high,high
18HYD_13,58,29,67.11720433728448,37,63.793103448275865,high,high
18HYD_14,59,31,73.15945382845604,43,72.88135593220339,high,high
18HYD_15,100,57,80.0479736328125,82,82.0,high,high
18HYD_16,61,44,66.06620413358094,39,63.9344262295082,high,high
18HYD_17,61,48,67.46280857774077,40,65.57377049180327,high,high
18HYD_18,125,78,69.8491943359375,88,70.4,high,high
18HYD_19,59,44,74.42774368544757,45,76.27118644067797,high,high
18HYD_20,58,51,69.89083125673491,42,72.41379310344827,high,high
18HYD_21,59,52,70.31927593683793,41,69.49152542372882,high,high
18HYD_22,59,48,73.70770987817797,45,76.27118644067797,high,high
18HYD_23,59,22,76.373291015625,47,79.66101694915254,high,high
18HYD_24,59,51,71.52870307534428,44,74.57627118644068,high,high
18HYD_25,61,60,63.72425517097848,40,65.57377049180327,high,high
18HYD_26,59,55,74.83618784759004,45,76.27118644067797,high,high
18HYD_27,124,102,69.3192881922568,87,70.16129032258064,high,high
18HYD_28,59,49,73.2128078654661,43,72.88135593220339,high,high
18HYD_29,58,35,65.90681404903017,39,67.24137931034483,high,high
18HYF_00,118,47,73.58623439982786,86,72.88135593220339,high,high
18HYF_01,58,56,67.5744681522764,40,68.96551724137932,high,high
18HYF_02,58,52,71.14962873787715,41,70.6896551724138,high,high
18HYF_03,58,57,69.59367949387124,41,70.6896551724138,high,high
18HYF_04,58,24,78.25043776939656,46,79.3103448275862,high,high
18HYF_05,58,48,62.84574311355065,36,62.06896551724138,high,high
18HYF_06,60,37,74.25740559895833,44,73.33333333333333,high,high
18HYF_07,58,57,61.105004672346446,36,62.06896551724138,high,high
18HYF_08,58,21,71.92414382408406,41,70.6896551724138,high,high
18HYF_09,58,53,74.24639997811153,43,74.13793103448276,high,high
18HYF_10,68,42,65.75986076803768,46,67.6470588235294,high,high
18HYF_11,58,50,72.93535429855874,42,72.41379310344827,high,high
18HYF_12,56,26,80.08286612374442,45,80.35714285714286,high,high
18HYF_13,60,58,70.82107543945312,43,71.66666666666667,high,high
18HYF_14,58,52,66.53787020979256,39,67.24137931034483,high,high
18HYF_15,59,30,72.47704974675582,44,74.57627118644068,high,high
